Brand,Model,Launch Year,Segment,Fuel Type,Fuel_Type_Group,Variants,Minimum_Price (Lakhs),Maximum_Price (Lakhs),Average_price(Lakhs),Price_INR,Price_Category,Is EV?,Performance,,Notable Features
MG,Astor,2019,Sedan,Petrol,Petrol,18,6,15,10.5,1050000,Mid Range,No,18.8 kmpl,18.8,"Airbags, ESC, Sunroof, Leather Seats, AC, Ventilated Seats, Wireless Charging"
Volkswagen,Virtus,2021,SUV,Petrol,Petrol,4,10,30,20.0,2000000,Upper Mid,No,18.0 kmpl,18,"ADAS, Airbags, Leather Seats, AC, Cruise Control, Apple CarPlay, HUD, Android Auto"
Mahindra,Bolero,2022,SUV,Petrol,Petrol,10,10,30,20.0,2000000,Upper Mid,No,21.2 kmpl,21.2,"ADAS, Airbags, ABS, EBD, AC, Leather Seats, Sunroof, Touchscreen, Android Auto"
Skoda,Kushaq,2022,Compact SUV,Petrol,Petrol,15,7,18,12.5,1250000,Mid Range,No,19.2 kmpl,19.2,"EBD, Airbags, 360 Camera, Cruise Control, Touchscreen, Ventilated Seats, Apple CarPlay"
Tata,Harrier,2020,MPV,Diesel,Diesel,12,8,20,14.0,1400000,Mid Range,No,21.3 kmpl,21.3,"EBD, 360 Camera, TPMS, ADAS, AC, Sunroof, Cruise Control, Android Auto"
Audi,Q5,2019,Hatchback,Diesel,Diesel,2,3.5,8.5,6.0,600000,Entry Level,No,26.5 kmpl,26.5,"Hill Hold, EBD, AC, Touchscreen, Ventilated Seats, Cruise Control, Wireless Charging, HUD"
Mahindra,Marazzo,2016,Compact SUV,Petrol/CNG,Hybrid,14,7,18,12.5,1250000,Mid Range,No,28.3 kmpl,28.3,"Hill Hold, ABS, Leather Seats, AC, Sunroof, Touchscreen, Cruise Control, HUD, Wireless Charging"
Honda,WR-V,2022,MPV,Petrol,Petrol,14,8,20,14.0,1400000,Mid Range,No,20.8 kmpl,20.8,"ADAS, Hill Hold, EBD, AC, Leather Seats, Sunroof, Cruise Control, Connected Car, Android Auto, Apple CarPlay"
Mahindra,XUV 300,2018,Hatchback,Electric,EV,21,4.2,11.05,7.6,762500,Entry Level,Yes,407 km range,407,"EBD, ADAS, AC, Sunroof, Leather Seats, Android Auto, Connected Car, Voice Control"
Jeep,Compass,2017,Compact SUV,Electric,EV,15,8.4,23.4,15.9,1590000,Upper Mid,Yes,391 km range,391,"ADAS, 360 Camera, ABS, ESC, Power Windows, Sunroof, Touchscreen, Ventilated Seats, Leather Seats, Wireless Charging, HUD"
BYD,Atto 3,2016,Luxury,Diesel,Diesel,4,30,100,65.0,6500000,Luxury,No,21.0 kmpl,21,"Hill Hold, ABS, TPMS, Power Windows, Ventilated Seats, Sunroof, AC, Cruise Control, HUD, Apple CarPlay"
Toyota,Urban Cruiser,2016,Sedan,Petrol/CNG,Hybrid,5,6,15,10.5,1050000,Mid Range,No,21.5 kmpl,21.5,"Hill Hold, TPMS, Ventilated Seats, AC, Cruise Control, Connected Car, Voice Control"
Mahindra,XUV 300,2018,SUV,Petrol,Petrol,24,10,30,20.0,2000000,Upper Mid,No,24.4 kmpl,24.4,"ADAS, 360 Camera, Touchscreen, Power Windows, Cruise Control, AC, Apple CarPlay, Connected Car"
Mercedes,C-Class,2019,SUV,Electric,EV,21,12,39,25.5,2550000,Luxury,Yes,376 km range,376,"360 Camera, TPMS, ESC, EBD, Leather Seats, Sunroof, Cruise Control, AC, Touchscreen, Connected Car"
Volkswagen,Taigun,2023,Sedan,Electric,EV,12,7.2,19.5,13.4,1335000,Mid Range,Yes,311 km range,311,"360 Camera, TPMS, Leather Seats, Sunroof, Ventilated Seats, Cruise Control, Voice Control, HUD"
BMW,2 Series,2021,Compact SUV,Diesel,Diesel,25,7,18,12.5,1250000,Mid Range,No,25.0 kmpl,25,"360 Camera, EBD, ABS, Leather Seats, Ventilated Seats, Touchscreen, Power Windows, Voice Control, HUD, Connected Car"
MG,Gloster,2023,Sedan,Petrol,Petrol,7,6,15,10.5,1050000,Mid Range,No,21.1 kmpl,21.1,"Hill Hold, ESC, Sunroof, Ventilated Seats, Leather Seats, Power Windows, Wireless Charging, Connected Car"
BYD,E6,2021,MPV,Electric,EV,4,9.6,26,17.8,1780000,Upper Mid,Yes,500 km range,500,"ABS, Hill Hold, Cruise Control, Touchscreen, AC, HUD"
MG,Astor,2020,Hatchback,Petrol,Petrol,15,3.5,8.5,6.0,600000,Entry Level,No,17.9 kmpl,17.9,"ABS, ADAS, Airbags, Cruise Control, Leather Seats, AC, Ventilated Seats, Touchscreen, HUD, Apple CarPlay"
Maruti Suzuki,Fronx,2020,Electric Hatchback,Petrol/CNG,Hybrid,24,6,12,9.0,900000,Mid Range,No,20.4 kmpl,20.4,"ESC, 360 Camera, EBD, TPMS, Ventilated Seats, AC, Leather Seats, Power Windows, Apple CarPlay, Voice Control"
Audi,A4,2023,Compact SUV,Petrol,Petrol,24,7,18,12.5,1250000,Mid Range,No,20.8 kmpl,20.8,"EBD, Airbags, ESC, Leather Seats, Sunroof, Cruise Control, Touchscreen, Apple CarPlay, Voice Control"
Skoda,Slavia,2015,Compact SUV,Petrol,Petrol,14,7,18,12.5,1250000,Mid Range,No,16.3 kmpl,16.3,"ADAS, 360 Camera, ABS, Sunroof, Cruise Control, Leather Seats, Apple CarPlay, Android Auto, HUD"
Mahindra,Marazzo,2023,Sedan,Petrol,Petrol,25,6,15,10.5,1050000,Mid Range,No,16.2 kmpl,16.2,"EBD, TPMS, ADAS, Touchscreen, Ventilated Seats, Power Windows, Leather Seats, Wireless Charging, Connected Car, Apple CarPlay"
Volkswagen,Taigun,2020,SUV,Petrol/CNG,Hybrid,18,10,30,20.0,2000000,Upper Mid,No,26.1 kmpl,26.1,"EBD, 360 Camera, ESC, Airbags, Cruise Control, Power Windows, AC, HUD, Android Auto"
Kia,Carens,2019,Sedan,Diesel,Diesel,15,6,15,10.5,1050000,Mid Range,No,21.0 kmpl,21,"Airbags, ABS, Hill Hold, TPMS, Touchscreen, AC, Cruise Control, Leather Seats, Ventilated Seats, HUD, Apple CarPlay"
Renault,Kwid,2023,Hatchback,Petrol,Petrol,15,3.5,8.5,6.0,600000,Entry Level,No,19.7 kmpl,19.7,"ADAS, EBD, Airbags, ABS, Cruise Control, Touchscreen, Sunroof, HUD"
Maruti Suzuki,Ertiga,2018,Hatchback,Diesel,Diesel,8,3.5,8.5,6.0,600000,Entry Level,No,19.9 kmpl,19.9,"EBD, ABS, Leather Seats, Sunroof, AC, Ventilated Seats, Apple CarPlay, Wireless Charging, Android Auto"
Skoda,Superb,2015,Hatchback,Petrol,Petrol,5,3.5,8.5,6.0,600000,Entry Level,No,17.3 kmpl,17.3,"TPMS, EBD, ABS, ADAS, Cruise Control, Sunroof, Touchscreen, AC, Android Auto, Connected Car, Wireless Charging"
Audi,Q3,2021,Luxury,Diesel,Diesel,12,30,100,65.0,6500000,Luxury,No,19.4 kmpl,19.4,"360 Camera, Hill Hold, Airbags, Sunroof, Power Windows, Cruise Control, Ventilated Seats, Touchscreen, Connected Car, Voice Control"
BYD,E6,2017,Sedan,Diesel,Diesel,8,6,15,10.5,1050000,Mid Range,No,25.0 kmpl,25,"ABS, 360 Camera, Sunroof, AC, Touchscreen, Apple CarPlay, HUD"
MG,Gloster,2019,Sedan,Petrol,Petrol,21,6,15,10.5,1050000,Mid Range,No,19.9 kmpl,19.9,"ADAS, TPMS, 360 Camera, Cruise Control, Power Windows, AC, Voice Control"
Jeep,Meridian,2016,MPV,Electric,EV,14,9.6,26,17.8,1780000,Upper Mid,Yes,333 km range,333,"EBD, Hill Hold, ADAS, Touchscreen, Power Windows, Sunroof, Leather Seats, AC, Voice Control, Apple CarPlay"
Hyundai,Creta,2018,Sedan,Petrol,Petrol,22,6,15,10.5,1050000,Mid Range,No,24.1 kmpl,24.1,"ABS, 360 Camera, Hill Hold, ESC, Power Windows, Sunroof, Leather Seats, Touchscreen, Wireless Charging"
Tata,Tiago,2017,Compact SUV,Petrol,Petrol,17,7,18,12.5,1250000,Mid Range,No,22.8 kmpl,22.8,"360 Camera, ABS, TPMS, Touchscreen, Leather Seats, Cruise Control, Power Windows, Ventilated Seats, Voice Control"
Maruti Suzuki,Brezza,2022,Hatchback,Petrol,Petrol,22,3.5,8.5,6.0,600000,Entry Level,No,18.1 kmpl,18.1,"ESC, ABS, 360 Camera, AC, Cruise Control, Power Windows, Leather Seats, Wireless Charging, Voice Control, Apple CarPlay"
Nissan,Magnite,2023,Hatchback,Electric,EV,23,4.2,11.05,7.6,762500,Entry Level,Yes,244 km range,244,"EBD, Hill Hold, TPMS, Airbags, Touchscreen, Power Windows, Leather Seats, Cruise Control, Connected Car"
MG,Gloster,2019,Compact SUV,Petrol,Petrol,5,7,18,12.5,1250000,Mid Range,No,17.6 kmpl,17.6,"ADAS, ESC, Sunroof, Cruise Control, AC, Connected Car, HUD"
Force,Gurkha,2021,Electric Hatchback,Diesel,Diesel,6,6,12,9.0,900000,Mid Range,No,19.9 kmpl,19.9,"ADAS, Hill Hold, ABS, AC, Ventilated Seats, Leather Seats, Cruise Control, Android Auto"
Honda,Amaze,2018,Sedan,Petrol,Petrol,2,6,15,10.5,1050000,Mid Range,No,24.0 kmpl,24,"360 Camera, EBD, Ventilated Seats, AC, Cruise Control, Sunroof, Touchscreen, Voice Control"
Honda,Elevate,2015,MPV,Petrol,Petrol,15,8,20,14.0,1400000,Mid Range,No,22.1 kmpl,22.1,"ADAS, ABS, EBD, 360 Camera, Power Windows, Cruise Control, Leather Seats, Touchscreen, Ventilated Seats, Android Auto"
Nissan,Kicks,2017,Hatchback,Petrol,Petrol,13,3.5,8.5,6.0,600000,Entry Level,No,18.0 kmpl,18,"360 Camera, Airbags, ADAS, Hill Hold, Power Windows, Sunroof, Touchscreen, HUD, Voice Control"
Mercedes,A-Class,2015,Compact SUV,Petrol,Petrol,12,7,18,12.5,1250000,Mid Range,No,23.4 kmpl,23.4,"ADAS, ESC, Cruise Control, Leather Seats, Power Windows, Touchscreen, AC, HUD, Voice Control"
Honda,City,2018,SUV,Petrol/CNG,Hybrid,3,10,30,20.0,2000000,Upper Mid,No,24.9 kmpl,24.9,"Hill Hold, EBD, TPMS, ABS, Leather Seats, Power Windows, Touchscreen, AC, Apple CarPlay"
Nissan,Kicks,2020,Compact SUV,Diesel,Diesel,25,7,18,12.5,1250000,Mid Range,No,25.2 kmpl,25.2,"Hill Hold, Airbags, ESC, 360 Camera, Power Windows, Touchscreen, Cruise Control, Sunroof, Leather Seats, Connected Car, Apple CarPlay, Wireless Charging"
Skoda,Kushaq,2016,Sedan,Petrol,Petrol,7,6,15,10.5,1050000,Mid Range,No,23.0 kmpl,23,"Hill Hold, TPMS, ADAS, EBD, AC, Ventilated Seats, Cruise Control, Apple CarPlay, Voice Control"
Nissan,Magnite,2022,Hatchback,Petrol,Petrol,23,3.5,8.5,6.0,600000,Entry Level,No,17.1 kmpl,17.1,"Airbags, TPMS, EBD, AC, Cruise Control, Ventilated Seats, Touchscreen, Power Windows, Apple CarPlay, Connected Car"
Mahindra,XUV 300,2017,Sedan,Electric,EV,9,7.2,19.5,13.4,1335000,Mid Range,Yes,399 km range,399,"ABS, TPMS, Hill Hold, Sunroof, Power Windows, Ventilated Seats, Cruise Control, Touchscreen, Android Auto, HUD"
Maruti Suzuki,Dzire,2017,Electric SUV,Petrol/CNG,Hybrid,9,12,25,18.5,1850000,Upper Mid,No,28.7 kmpl,28.7,"Hill Hold, ESC, Touchscreen, AC, Leather Seats, Cruise Control, Ventilated Seats, Voice Control"
Volkswagen,Polo,2023,Sedan,Petrol,Petrol,1,6,15,10.5,1050000,Mid Range,No,19.0 kmpl,19,"EBD, Hill Hold, ABS, Sunroof, Power Windows, Ventilated Seats, Cruise Control, Leather Seats, Voice Control, Apple CarPlay"
Tata,Punch,2022,Sedan,Petrol,Petrol,5,6,15,10.5,1050000,Mid Range,No,22.7 kmpl,22.7,"Hill Hold, ADAS, TPMS, 360 Camera, Ventilated Seats, Sunroof, Leather Seats, Power Windows, Android Auto, Wireless Charging, HUD"
Citroen,C5 Aircross,2020,Hatchback,Petrol,Petrol,16,3.5,8.5,6.0,600000,Entry Level,No,22.6 kmpl,22.6,"360 Camera, Hill Hold, TPMS, Leather Seats, Ventilated Seats, Cruise Control, Touchscreen, AC, HUD"
Hyundai,Venue,2019,Hatchback,Petrol,Petrol,14,3.5,8.5,6.0,600000,Entry Level,No,22.4 kmpl,22.4,"ABS, ADAS, Sunroof, Touchscreen, Ventilated Seats, Android Auto, HUD"
Hyundai,Creta,2015,Compact SUV,Petrol,Petrol,4,7,18,12.5,1250000,Mid Range,No,23.6 kmpl,23.6,"ESC, ADAS, 360 Camera, Ventilated Seats, AC, Cruise Control, Leather Seats, Apple CarPlay, HUD"
Lexus,NX,2021,Compact SUV,Petrol,Petrol,12,7,18,12.5,1250000,Mid Range,No,21.7 kmpl,21.7,"360 Camera, EBD, Ventilated Seats, Sunroof, Cruise Control, Touchscreen, AC, Wireless Charging, Apple CarPlay, Voice Control"
MG,Gloster,2021,SUV,Petrol/CNG,Hybrid,19,10,30,20.0,2000000,Upper Mid,No,27.1 kmpl,27.1,"Airbags, ADAS, 360 Camera, Sunroof, Cruise Control, AC, Ventilated Seats, Leather Seats, Apple CarPlay, HUD, Android Auto"
Volkswagen,Polo,2021,Electric SUV,Petrol/CNG,Hybrid,25,12,25,18.5,1850000,Upper Mid,No,29.7 kmpl,29.7,"EBD, Airbags, Sunroof, AC, Cruise Control, Power Windows, Ventilated Seats, Android Auto"
Lexus,ES,2017,Hatchback,Petrol,Petrol,2,3.5,8.5,6.0,600000,Entry Level,No,24.9 kmpl,24.9,"360 Camera, ESC, ADAS, Sunroof, AC, Touchscreen, Power Windows, Wireless Charging, Apple CarPlay, Voice Control"
Renault,Kwid,2021,Hatchback,Petrol/CNG,Hybrid,11,3.5,8.5,6.0,600000,Entry Level,No,25.2 kmpl,25.2,"EBD, ESC, ADAS, Ventilated Seats, Touchscreen, AC, Connected Car, Voice Control"
Tata,Nexon,2017,Compact SUV,Petrol,Petrol,22,7,18,12.5,1250000,Mid Range,No,16.8 kmpl,16.8,"ABS, 360 Camera, TPMS, Touchscreen, Power Windows, Leather Seats, Cruise Control, AC, HUD, Connected Car"
Hyundai,Verna,2021,Compact SUV,Petrol/CNG,Hybrid,10,7,18,12.5,1250000,Mid Range,No,22.0 kmpl,22,"TPMS, Hill Hold, ADAS, Leather Seats, Ventilated Seats, Sunroof, AC, Voice Control"
Citroen,C3,2015,Hatchback,Petrol,Petrol,10,3.5,8.5,6.0,600000,Entry Level,No,24.1 kmpl,24.1,"360 Camera, TPMS, ADAS, Power Windows, Ventilated Seats, Cruise Control, Wireless Charging, Connected Car, Android Auto"
Maruti Suzuki,Wagon R,2018,Electric Hatchback,Petrol,Petrol,24,6,12,9.0,900000,Mid Range,No,17.1 kmpl,17.1,"ESC, EBD, Airbags, 360 Camera, Touchscreen, Cruise Control, AC, Power Windows, Leather Seats, Apple CarPlay, Voice Control, HUD"
Citroen,C3,2016,Electric Hatchback,Diesel,Diesel,10,6,12,9.0,900000,Mid Range,No,23.1 kmpl,23.1,"EBD, 360 Camera, ADAS, Cruise Control, Power Windows, AC, Sunroof, Connected Car, Apple CarPlay, Voice Control"
BYD,E6,2021,Sedan,Diesel,Diesel,10,6,15,10.5,1050000,Mid Range,No,20.7 kmpl,20.7,"ABS, Hill Hold, EBD, Airbags, Sunroof, Leather Seats, Touchscreen, AC, Voice Control, Connected Car, Wireless Charging"
Mercedes,C-Class,2015,SUV,Petrol,Petrol,6,10,30,20.0,2000000,Upper Mid,No,16.9 kmpl,16.9,"360 Camera, ADAS, Airbags, Cruise Control, Ventilated Seats, Leather Seats, Sunroof, Apple CarPlay, Android Auto, Wireless Charging"
Mercedes,GLA,2020,Compact SUV,Petrol,Petrol,6,7,18,12.5,1250000,Mid Range,No,16.8 kmpl,16.8,"TPMS, ESC, Hill Hold, ADAS, Touchscreen, Sunroof, AC, Leather Seats, Power Windows, Voice Control, HUD, Wireless Charging"
BYD,E6,2018,Compact SUV,Petrol,Petrol,18,7,18,12.5,1250000,Mid Range,No,18.6 kmpl,18.6,"Hill Hold, ADAS, EBD, AC, Leather Seats, Touchscreen, Apple CarPlay, Wireless Charging"
BYD,E6,2022,Compact SUV,Diesel,Diesel,15,7,18,12.5,1250000,Mid Range,No,21.7 kmpl,21.7,"Hill Hold, Airbags, 360 Camera, ADAS, Sunroof, Ventilated Seats, Leather Seats, Android Auto, Connected Car"
Renault,Kiger,2020,MPV,Diesel,Diesel,3,8,20,14.0,1400000,Mid Range,No,26.2 kmpl,26.2,"TPMS, ABS, Hill Hold, AC, Touchscreen, Ventilated Seats, Power Windows, Connected Car, Android Auto"
Toyota,Hilux,2015,Sedan,Electric,EV,18,7.2,19.5,13.4,1335000,Mid Range,Yes,218 km range,218,"Hill Hold, TPMS, Touchscreen, AC, Sunroof, Ventilated Seats, Power Windows, Wireless Charging, Connected Car"
Citroen,C3,2016,SUV,Diesel,Diesel,4,10,30,20.0,2000000,Upper Mid,No,24.1 kmpl,24.1,"Airbags, Hill Hold, ADAS, Sunroof, Leather Seats, Ventilated Seats, Touchscreen, Apple CarPlay"
Honda,Amaze,2019,Compact SUV,Petrol,Petrol,17,7,18,12.5,1250000,Mid Range,No,15.1 kmpl,15.1,"ABS, EBD, ADAS, Sunroof, Cruise Control, Leather Seats, Connected Car, Android Auto"
Mercedes,C-Class,2018,Hatchback,Petrol,Petrol,15,3.5,8.5,6.0,600000,Entry Level,No,16.9 kmpl,16.9,"ADAS, ESC, TPMS, Touchscreen, Power Windows, Leather Seats, Cruise Control, Voice Control"
Jeep,Compass,2022,Compact SUV,Petrol,Petrol,21,7,18,12.5,1250000,Mid Range,No,21.0 kmpl,21,"ABS, 360 Camera, Touchscreen, Cruise Control, Ventilated Seats, Android Auto, Wireless Charging, Voice Control"
Toyota,Innova,2023,Electric SUV,Petrol,Petrol,2,12,25,18.5,1850000,Upper Mid,No,19.0 kmpl,19,"ABS, ADAS, EBD, Airbags, AC, Power Windows, Sunroof, Cruise Control, Leather Seats, Apple CarPlay, Android Auto, Voice Control"
Hyundai,Venue,2018,Compact SUV,Petrol,Petrol,11,7,18,12.5,1250000,Mid Range,No,19.4 kmpl,19.4,"Airbags, ESC, EBD, Hill Hold, Ventilated Seats, Sunroof, Cruise Control, Power Windows, AC, Apple CarPlay"
Skoda,Kushaq,2023,Compact SUV,Diesel,Diesel,10,7,18,12.5,1250000,Mid Range,No,19.5 kmpl,19.5,"TPMS, ADAS, AC, Ventilated Seats, Sunroof, Voice Control, Apple CarPlay, Wireless Charging"
Toyota,Urban Cruiser,2021,Hatchback,Petrol/CNG,Hybrid,19,3.5,8.5,6.0,600000,Entry Level,No,22.7 kmpl,22.7,"Hill Hold, 360 Camera, TPMS, ESC, Touchscreen, Ventilated Seats, Sunroof, Apple CarPlay, HUD"
Volkswagen,Polo,2021,Compact SUV,Petrol,Petrol,23,7,18,12.5,1250000,Mid Range,No,17.5 kmpl,17.5,"ADAS, TPMS, 360 Camera, ABS, Power Windows, Sunroof, Ventilated Seats, Touchscreen, Voice Control, Apple CarPlay"
Honda,City,2017,MPV,Petrol,Petrol,10,8,20,14.0,1400000,Mid Range,No,21.0 kmpl,21,"EBD, Airbags, Sunroof, Cruise Control, AC, Power Windows, Ventilated Seats, Apple CarPlay, Wireless Charging"
BYD,Atto 3,2020,Luxury,Electric,EV,15,36,130,83.0,8300000,Luxury,Yes,410 km range,410,"TPMS, ADAS, ABS, Hill Hold, Leather Seats, Touchscreen, Power Windows, Ventilated Seats, Android Auto"
MG,Hector,2019,SUV,Petrol,Petrol,16,10,30,20.0,2000000,Upper Mid,No,21.2 kmpl,21.2,"ABS, 360 Camera, Cruise Control, Touchscreen, AC, Ventilated Seats, Power Windows, HUD"
BYD,Atto 3,2017,Hatchback,Diesel,Diesel,19,3.5,8.5,6.0,600000,Entry Level,No,25.6 kmpl,25.6,"360 Camera, ABS, ESC, Power Windows, Ventilated Seats, AC, Cruise Control, Apple CarPlay"
Citroen,C3,2018,SUV,Petrol,Petrol,9,10,30,20.0,2000000,Upper Mid,No,15.9 kmpl,15.9,"360 Camera, Airbags, TPMS, AC, Ventilated Seats, Cruise Control, Sunroof, Power Windows, Android Auto, Apple CarPlay, Connected Car"
Audi,A4,2020,SUV,Diesel,Diesel,15,10,30,20.0,2000000,Upper Mid,No,23.6 kmpl,23.6,"360 Camera, ESC, TPMS, Power Windows, AC, Cruise Control, Ventilated Seats, Wireless Charging, Android Auto"
Mercedes,GLA,2019,Compact SUV,Petrol,Petrol,24,7,18,12.5,1250000,Mid Range,No,18.3 kmpl,18.3,"TPMS, EBD, Ventilated Seats, Touchscreen, Leather Seats, AC, Cruise Control, Apple CarPlay, Connected Car, Wireless Charging"
Hyundai,Creta,2018,Electric SUV,Petrol,Petrol,16,12,25,18.5,1850000,Upper Mid,No,24.4 kmpl,24.4,"ESC, ADAS, ABS, Sunroof, Leather Seats, Cruise Control, Voice Control, Android Auto"
Nissan,Magnite,2021,Luxury,Diesel,Diesel,8,30,100,65.0,6500000,Luxury,No,26.4 kmpl,26.4,"ABS, Hill Hold, Airbags, Cruise Control, Power Windows, AC, Voice Control"
Honda,WR-V,2018,Electric SUV,Petrol/CNG,Hybrid,23,12,25,18.5,1850000,Upper Mid,No,27.7 kmpl,27.7,"Hill Hold, Airbags, ADAS, Cruise Control, Power Windows, Touchscreen, Sunroof, Leather Seats, HUD, Connected Car"
Audi,Q3,2023,Hatchback,Diesel,Diesel,5,3.5,8.5,6.0,600000,Entry Level,No,23.0 kmpl,23,"TPMS, ABS, 360 Camera, AC, Cruise Control, Power Windows, Android Auto"
Honda,Elevate,2016,SUV,Petrol/CNG,Hybrid,18,10,30,20.0,2000000,Upper Mid,No,20.6 kmpl,20.6,"360 Camera, TPMS, EBD, ADAS, AC, Sunroof, Power Windows, Ventilated Seats, Android Auto"
Toyota,Camry,2015,Electric Hatchback,Petrol,Petrol,14,6,12,9.0,900000,Mid Range,No,21.9 kmpl,21.9,"TPMS, ESC, ABS, Airbags, AC, Sunroof, Ventilated Seats, Power Windows, Touchscreen, Connected Car"
Kia,EV6,2023,Sedan,Petrol,Petrol,18,6,15,10.5,1050000,Mid Range,No,23.4 kmpl,23.4,"360 Camera, ESC, Airbags, Ventilated Seats, Leather Seats, Power Windows, Cruise Control, Touchscreen, Voice Control"
Mahindra,XUV 700,2023,Hatchback,Petrol,Petrol,21,3.5,8.5,6.0,600000,Entry Level,No,24.1 kmpl,24.1,"EBD, 360 Camera, TPMS, ABS, AC, Touchscreen, Cruise Control, Apple CarPlay, Connected Car"
BMW,2 Series,2022,Electric SUV,Petrol,Petrol,8,12,25,18.5,1850000,Upper Mid,No,24.7 kmpl,24.7,"ADAS, TPMS, Airbags, ESC, Ventilated Seats, Sunroof, AC, Cruise Control, Leather Seats, Connected Car, Wireless Charging"
Mercedes,C-Class,2020,Hatchback,Diesel,Diesel,9,3.5,8.5,6.0,600000,Entry Level,No,21.8 kmpl,21.8,"ESC, Hill Hold, Touchscreen, Ventilated Seats, Leather Seats, Cruise Control, AC, Apple CarPlay, Wireless Charging"
BYD,E6,2021,Sedan,Petrol/Diesel,Hybrid,5,6,15,10.5,1050000,Mid Range,No,16.2 kmpl,16.2,"ADAS, ABS, ESC, Airbags, Ventilated Seats, Cruise Control, AC, Wireless Charging, Connected Car"
Jeep,Compass,2016,Luxury,Petrol/CNG,Hybrid,16,30,100,65.0,6500000,Luxury,No,26.6 kmpl,26.6,"ESC, TPMS, EBD, 360 Camera, Leather Seats, Power Windows, Sunroof, AC, Touchscreen, Android Auto"
Tata,Harrier,2019,Compact SUV,Electric,EV,5,8.4,23.4,15.9,1590000,Upper Mid,Yes,485 km range,485,"TPMS, ABS, Airbags, 360 Camera, AC, Touchscreen, Cruise Control, Voice Control, HUD, Wireless Charging"
Kia,Carens,2018,SUV,Petrol,Petrol,17,10,30,20.0,2000000,Upper Mid,No,22.1 kmpl,22.1,"EBD, ESC, ABS, Airbags, Power Windows, Sunroof, Leather Seats, AC, Cruise Control, Voice Control"
Toyota,Urban Cruiser,2019,Compact SUV,Petrol,Petrol,11,7,18,12.5,1250000,Mid Range,No,23.7 kmpl,23.7,"ABS, EBD, Airbags, AC, Power Windows, Leather Seats, Cruise Control, Ventilated Seats, Wireless Charging, Android Auto, Voice Control"
Tata,Tiago,2023,Sedan,Electric,EV,6,7.2,19.5,13.4,1335000,Mid Range,Yes,329 km range,329,"EBD, 360 Camera, Power Windows, AC, Leather Seats, Sunroof, HUD, Apple CarPlay, Wireless Charging"
Mahindra,Bolero,2023,SUV,Petrol,Petrol,7,10,30,20.0,2000000,Upper Mid,No,20.8 kmpl,20.8,"360 Camera, Airbags, EBD, TPMS, Cruise Control, Ventilated Seats, Power Windows, AC, Touchscreen, Connected Car, Apple CarPlay"
BMW,3 Series,2017,Hatchback,Petrol/Diesel,Hybrid,17,3.5,8.5,6.0,600000,Entry Level,No,19.4 kmpl,19.4,"ADAS, EBD, Cruise Control, Leather Seats, Ventilated Seats, Power Windows, Voice Control, Apple CarPlay, HUD"
Lexus,ES,2020,MPV,Diesel,Diesel,13,8,20,14.0,1400000,Mid Range,No,20.2 kmpl,20.2,"Airbags, EBD, ESC, ABS, Cruise Control, Power Windows, AC, Wireless Charging, Connected Car, Android Auto"
Lexus,ES,2017,Electric SUV,Petrol,Petrol,19,12,25,18.5,1850000,Upper Mid,No,19.9 kmpl,19.9,"ABS, 360 Camera, Touchscreen, Power Windows, Leather Seats, AC, Android Auto, Apple CarPlay, Connected Car"
Mercedes,C-Class,2017,Compact SUV,Electric,EV,11,8.4,23.4,15.9,1590000,Upper Mid,Yes,372 km range,372,"Airbags, Hill Hold, Touchscreen, Ventilated Seats, Power Windows, Cruise Control, Sunroof, Connected Car"
Audi,Q3,2017,Electric SUV,Petrol,Petrol,22,12,25,18.5,1850000,Upper Mid,No,24.6 kmpl,24.6,"EBD, ESC, Ventilated Seats, Touchscreen, Leather Seats, Android Auto, HUD"
Citroen,C3,2017,Compact SUV,Petrol,Petrol,10,7,18,12.5,1250000,Mid Range,No,21.6 kmpl,21.6,"TPMS, ADAS, Cruise Control, Ventilated Seats, Leather Seats, Sunroof, Power Windows, Apple CarPlay, Voice Control, Android Auto"
Lexus,RX,2015,Compact SUV,Electric,EV,2,8.4,23.4,15.9,1590000,Upper Mid,Yes,338 km range,338,"EBD, Airbags, TPMS, Leather Seats, Sunroof, Touchscreen, Cruise Control, AC, Connected Car, Android Auto, Apple CarPlay"
BMW,X1,2017,Compact SUV,Petrol,Petrol,5,7,18,12.5,1250000,Mid Range,No,24.3 kmpl,24.3,"EBD, ESC, Leather Seats, Ventilated Seats, Touchscreen, Connected Car, Wireless Charging"
Nissan,Magnite,2022,SUV,Petrol,Petrol,19,10,30,20.0,2000000,Upper Mid,No,15.4 kmpl,15.4,"ESC, 360 Camera, Cruise Control, Ventilated Seats, Power Windows, AC, Android Auto, Voice Control, HUD"
Honda,WR-V,2023,MPV,Petrol,Petrol,25,8,20,14.0,1400000,Mid Range,No,21.1 kmpl,21.1,"360 Camera, Airbags, Hill Hold, Ventilated Seats, Power Windows, Leather Seats, AC, Wireless Charging"
Force,Gurkha,2022,SUV,Petrol,Petrol,7,10,30,20.0,2000000,Upper Mid,No,24.8 kmpl,24.8,"Airbags, TPMS, Hill Hold, Touchscreen, AC, Power Windows, Ventilated Seats, Connected Car, Apple CarPlay, Android Auto"
Audi,Q3,2023,Compact SUV,Diesel,Diesel,19,7,18,12.5,1250000,Mid Range,No,19.2 kmpl,19.2,"EBD, Airbags, Power Windows, Cruise Control, Sunroof, Apple CarPlay"
